#time fluid_temperature fluid_vCM 
0.156  31.813    3.6849 2.36595 11.4004   
0.157  29.6433    4.07018 2.56007 11.3796   
0.158  29.5082    4.40706 2.72582 11.1972   
0.159  30.6932    4.68356 2.87885 10.8632   
0.16  31.426    4.88733 3.0312 10.4037   
0.161  34.2714    5.00992 3.18401 9.81059   
0.162  37.2474    5.04294 3.33321 9.06187   
0.163  40.3482    4.98793 3.47817 8.18469   
0.164  44.0292    4.86172 3.61472 7.22072   
0.165  44.8339    4.681 3.73276 6.21254   
0.166  46.8517    4.46096 3.83016 5.22717   
0.167  46.2153    4.22438 3.90649 4.30883   
0.168  46.6386    3.99668 3.95302 3.48127   
0.169  48.5786    3.79481 3.96667 2.78618   
0.17  49.6728    3.62867 3.94747 2.26004   
0.171  48.5476    3.49717 3.89472 1.90317   
0.172  48.7618    3.38993 3.81796 1.69715   
0.173  48.2253    3.29526 3.72144 1.61861   
0.174  47.8177    3.20388 3.60029 1.62883   
0.175  44.831    3.10758 3.4532 1.6887   
0.176  40.7163    3.00068 3.27535 1.7645   
0.177  37.4711    2.88064 3.0602 1.81962   
0.178  36.2886    2.74056 2.8062 1.8342   
0.179  33.3315    2.57224 2.51598 1.80345   
0.18  30.9683    2.3714 2.19184 1.72607   
0.181  30.0076    2.13268 1.83646 1.61022   
0.182  28.4742    1.84923 1.45683 1.47403   
0.183  26.6337    1.5223 1.05767 1.33586   
0.184  26.465    1.15921 0.642824 1.21202   
0.185  24.0538    0.770046 0.223199 1.12452   
0.186  22.607    0.365665 -0.186513 1.09032   
0.187  21.3138    -0.0409629 -0.576702 1.11488   
0.188  20.2628    -0.432672 -0.937425 1.20812   
0.189  21.2242    -0.797232 -1.26023 1.38274   
0.19  21.5738    -1.12663 -1.54022 1.65041   
0.191  22.516    -1.41474 -1.77447 2.01244   
0.192  22.3308    -1.66281 -1.96771 2.44857   
0.193  22.099    -1.87815 -2.13068 2.93666   
0.194  20.2624    -2.06802 -2.27245 3.46367   
0.195  18.4088    -2.23997 -2.39841 4.01518   
0.196  18.9673    -2.39933 -2.51523 4.57754   
0.197  19.6054    -2.55137 -2.63321 5.13649   
0.198  21.1497    -2.70218 -2.7614 5.67728   
0.199  21.5306    -2.85756 -2.90362 6.189   
0.2  21.2767    -3.0251 -3.06371 6.66321   
0.201  22.1166    -3.20673 -3.2446 7.09514   
0.202  22.4685    -3.40068 -3.44504 7.48283   
0.203  22.8497    -3.60311 -3.65906 7.82797   
0.204  21.4037    -3.80562 -3.87395 8.13732   
0.205  20.9448    -3.99794 -4.07643 8.42145   
0.206  20.1156    -4.17304 -4.26163 8.68773   
0.207  19.1933    -4.32546 -4.42488 8.94327   
0.208  17.475    -4.44786 -4.55695 9.19645   
0.209  17.3428    -4.53391 -4.65283 9.45168   
0.21  16.1189    -4.58575 -4.71183 9.70564   
0.211  15.9321    -4.61152 -4.73403 9.95066   
0.212  14.9364    -4.61841 -4.72389 10.1784   
0.213  14.2614    -4.61265 -4.68399 10.3828   
0.214  13.0891    -4.59378 -4.61588 10.5596   
0.215  12.2544    -4.56017 -4.52937 10.7025   
0.216  11.8408    -4.51529 -4.43584 10.8049   
0.217  11.2783    -4.46587 -4.34536 10.8577   
0.218  11.4875    -4.41808 -4.26665 10.8569   
0.219  13.3161    -4.37867 -4.20593 10.7995   
0.22  15.2492    -4.35216 -4.16505 10.684   
0.221  17.5059    -4.33579 -4.14244 10.5194   
0.222  17.909    -4.32329 -4.13508 10.318   
0.223  18.2736    -4.30533 -4.13261 10.0904   
0.224  19.973    -4.27633 -4.12861 9.83862   
0.225  21.779    -4.23842 -4.12929 9.55792   
0.226  21.8393    -4.19738 -4.14098 9.24542   
0.227  20.7364    -4.15712 -4.15962 8.89297   
0.228  20.8524    -4.11536 -4.1733 8.49812   
0.229  19.4579    -4.06713 -4.16939 8.07124   
0.23  19.0882    -4.00479 -4.13605 7.63024   
0.231  17.6689    -3.92165 -4.06731 7.18944   
0.232  17.665    -3.81335 -3.95659 6.75919   
0.233  18.0455    -3.67246 -3.79749 6.35468   
0.234  18.9813    -3.49337 -3.58731 5.98956   
0.235  19.2328    -3.27624 -3.32563 5.67262   
0.236  20.0395    -3.021 -3.01304 5.41074   
0.237  20.1449    -2.72821 -2.65345 5.20567   
0.238  18.9998    -2.4033 -2.25636 5.0507   
0.239  17.8866    -2.05231 -1.83289 4.93667   
0.24  16.6908    -1.69027 -1.40721 4.84031   
0.241  13.8696    -1.33597 -1.0039 4.73211   
0.242  12.7785    -1.00036 -0.635163 4.59181   
0.243  12.0189    -0.692058 -0.309184 4.4071   
0.244  11.9686    -0.418782 -0.0343974 4.17115   
0.245  12.3258    -0.186413 0.180047 3.87771   
0.246  12.7778    0.00192969 0.331066 3.52398   
0.247  13.8124    0.143771 0.41836 3.10822   
0.248  15.4155    0.240726 0.443679 2.63212   
0.249  15.9222    0.300282 0.417929 2.1056   
0.25  17.3461    0.332604 0.359561 1.54483   
0.251  17.2418    0.355301 0.293226 0.97263   
0.252  17.2077    0.385862 0.241728 0.411178   
0.253  16.9433    0.436253 0.225055 -0.122618   
0.254  17.0436    0.517281 0.258665 -0.614775   
0.255  18.0022    0.635002 0.348122 -1.05764   
0.256  17.884    0.78835 0.489373 -1.45144   
0.257  18.5488    0.96943 0.668739 -1.80165   
0.258  18.7667    1.16646 0.869302 -2.11652   
0.259  19.2808    1.36843 1.07626 -2.40633   
0.26  18.2628    1.56579 1.27908 -2.67885   
0.261  19.1685    1.74947 1.4679 -2.93694   
0.262  18.3134    1.91114 1.63174 -3.18504   
0.263  19.5106    2.04198 1.76006 -3.43187   
0.264  21.3493    2.1331 1.8433 -3.68572   
0.265  22.5797    2.17996 1.87863 -3.94821   
0.266  23.5586    2.18434 1.86985 -4.21378   
0.267  23.8456    2.1505 1.82222 -4.47573   
0.268  24.3951    2.08879 1.74598 -4.72717   
0.269  25.2037    2.01595 1.65692 -4.96176   
0.27  26.5805    1.94399 1.56628 -5.17778   
0.271  27.4529    1.87798 1.47799 -5.37678   
0.272  25.9458    1.81909 1.39286 -5.56292   
0.273  25.716    1.76834 1.31138 -5.73687   
0.274  24.407    1.72568 1.23164 -5.89532   
0.275  24.6799    1.68811 1.14743 -6.038   
0.276  23.7033    1.65268 1.05239 -6.16697   
0.277  23.2391    1.61593 0.946025 -6.28152   
0.278  20.8501    1.5725 0.828924 -6.37632   
0.279  20.5843    1.51679 0.693505 -6.45224   
